ID,Team,HGS,HGC,AGS,AGC,HAS,HDS,AAS,ADS,,,,,ID,Team,Home Goals Scored,Home Goals Conceded,Away Goals Scored,Away Goals Conceded,Home Attacking Strength,Home Defensive Strength,Away Attacking Strength,Away Defensive Strength
1,Arsenal,196,103,155,104,1.31986532,0.827641623,1.245480112,0.7003367,,,,,1,Arsenal,196,103,155,104,1.32,0.83,1.25,0.7
2,Aston Villa,161,135,114,139,1.084175084,1.084773001,0.916030534,0.936026936,,,,,2,Aston Villa,161,135,114,139,1.08,1.08,0.92,0.94
3,Bournemouth,69,86,62,117,0.464646465,0.691040579,0.498192045,0.787878788,,,,,3,Bournemouth,69,86,62,117,0.46,0.69,0.5,0.79
4,Brentford,86,73,76,94,0.579124579,0.586580956,0.610687023,0.632996633,,,,,4,Brentford,86,73,76,94,0.58,0.59,0.61,0.63
5,Brighton,128,120,120,139,0.861952862,0.964242668,0.964242668,0.936026936,,,,,5,Brighton,128,120,120,139,0.86,0.96,0.96,0.94
6,Burnley,75,118,76,118,0.505050505,0.948171957,0.610687023,0.794612795,,,,,6,Burnley,75,118,76,118,0.51,0.95,0.61,0.79
7,Chelsea,162,101,156,132,1.090909091,0.811570912,1.253515468,0.888888889,,,,,7,Chelsea,162,101,156,132,1.09,0.81,1.25,0.89
8,Crystal Palace,120,118,99,151,0.808080808,0.948171957,0.795500201,1.016835017,,,,,8,Crystal Palace,120,118,99,151,0.81,0.95,0.8,1.02
9,Everton,113,119,95,159,0.760942761,0.956207312,0.763358779,1.070707071,,,,,9,Everton,113,119,95,159,0.76,0.96,0.76,1.07
10,Fulham,71,81,66,86,0.478114478,0.650863801,0.530333467,0.579124579,,,,,10,Fulham,71,81,66,86,0.48,0.65,0.53,0.58
11,Leeds,73,96,79,115,0.491582492,0.771394134,0.63479309,0.774410774,,,,,11,Liverpool,225,79,183,110,1.52,0.63,1.47,0.74
12,Leicester,126,97,122,121,0.848484848,0.77942949,0.980313379,0.814814815,,,,,12,Luton,28,37,24,48,0.19,0.3,0.19,0.32
13,Liverpool,225,79,183,110,1.515151515,0.63479309,1.470470068,0.740740741,,,,,13,Man City,269,78,205,82,1.81,0.63,1.65,0.55
14,Luton,28,37,24,48,0.188552189,0.297308156,0.192848534,0.323232323,,,,,14,Man United,177,105,134,133,1.19,0.84,1.08,0.9
15,Man City,269,78,205,82,1.811447811,0.626757734,1.647247891,0.552188552,,,,,15,Newcastle,157,117,124,160,1.06,0.94,1,1.08
16,Man United,177,105,134,133,1.191919192,0.843712334,1.076737646,0.895622896,,,,,16,Nott'm Forest,54,54,33,81,0.36,0.43,0.27,0.55
17,Newcastle,157,117,124,160,1.057239057,0.940136601,0.99638409,1.077441077,,,,,17,Sheffield United,55,99,39,107,0.37,0.8,0.31,0.72
18,Norwich,31,80,18,79,0.208754209,0.642828445,0.1446364,0.531986532,,,,,18,Tottenham,184,108,158,148,1.24,0.87,1.27,1
19,Nott'm Forest,54,54,33,81,0.363636364,0.4339092,0.265166734,0.545454545,,,,,19,West Ham,152,133,121,156,1.02,1.07,0.97,1.05
20,Sheffield United,55,99,39,107,0.37037037,0.795500201,0.313378867,0.720538721,,,,,20,Wolves,113,119,93,139,0.76,0.96,0.75,0.94
21,Southampton,91,121,86,147,0.612794613,0.972278023,0.691040579,0.98989899,,,,,,,,,,,,,,
22,Tottenham,184,108,158,148,1.239057239,0.867818401,1.269586179,0.996632997,,,,,,,,,,,,,,
23,Watford,39,73,31,68,0.262626263,0.586580956,0.249096022,0.457912458,,,,,,,,,,,,,,
24,West Brom,15,39,20,37,0.101010101,0.313378867,0.160707111,0.249158249,,,,,,,,,,,,,,
25,West Ham,152,133,121,156,1.023569024,1.06870229,0.972278023,1.050505051,,,,,,,,,,,,,,
26,Wolves,113,119,93,139,0.760942761,0.956207312,0.747288067,0.936026936,,,,,,,,,,,,,,
